# instance by G2
# solution = 10001011010110011101100101101111110101101000101101111001010110001001001011101010111101101110001010001110010110111111010010101011101011000101101010011110000101111101000110000001010101101110111101011000
-107 -91 -47 
189 -73 -162 
-35 28 8 
-6 -112 -15 
-10 -64 -7 
-54 64 144 
32 189 190 
138 -40 -148 
-49 -56 55 
15 11 -62 
9 1 -148 
81 126 154 
-119 27 -50 
6 -96 174 
-86 -93 33 
75 -176 -8 
-137 63 -136 
-168 -143 183 
-163 -173 -69 
166 -172 -129 
-117 -74 191 
169 -170 -19 
-6 -59 85 
-56 101 60 
-188 -71 154 
-186 -127 58 
-52 -166 -54 
48 136 21 
181 117 -6 
-25 43 2 
-111 27 4 
-91 -69 -9 
-192 -98 -95 
-189 65 66 
-127 158 -25 
23 168 -143 
43 -189 109 
-180 -68 -78 
83 174 -54 
-113 84 -78 
-108 -75 -44 
36 116 32 
-160 -187 186 
155 -36 -153 
-62 137 -82 
-168 -19 80 
19 80 -188 
61 -52 -71 
-103 60 -140 
-89 55 7 
107 -165 -167 
197 -106 -195 
140 98 -197 
31 -88 20 
-189 56 -83 
-27 12 174 
117 159 126 
139 -15 76 
176 47 -90 
-54 79 -2 
-31 123 -128 
20 17 187 
-47 90 -35 
-191 123 -188 
177 23 138 
-9 76 -82 
76 7 128 
-118 -179 -80 
-10 80 168 
-147 39 174 
-62 114 -151 
-105 -9 39 
-140 112 -122 
-142 10 -67 
99 180 6 
-61 157 197 
158 121 124 
107 -194 8 
-188 160 -94 
91 183 -193 
-145 53 -43 
139 -74 41 
-48 -62 34 
158 -157 -5 
-195 -48 193 
-114 181 10 
93 136 140 
-67 -43 144 
77 -167 -85 
-193 -61 -29 
178 76 70 
16 -2 31 
-56 -166 130 
-121 -45 -96 
68 14 63 
187 -141 -37 
44 -63 54 
-13 -181 127 
-118 -182 5 
187 -66 -179 
95 144 8 
116 -86 39 
147 121 -37 
81 -73 -80 
-178 -43 85 
-107 84 26 
-118 135 125 
199 -94 64 
-133 -42 86 
191 -5 114 
-99 134 65 
-59 -156 -115 
59 -78 126 
-110 -79 195 
106 -130 127 
-197 -84 -105 
74 22 -116 
-166 -181 -4 
-58 148 -193 
-65 11 89 
21 -62 -139 
34 -179 99 
-20 -128 -124 
-58 128 -189 
-34 127 143 
-69 50 -140 
-59 35 165 
-160 -171 -76 
72 97 113 
119 109 177 
-127 -28 20 
-42 162 -4 
-38 20 132 
184 72 115 
-97 -88 109 
-189 -112 29 
-105 -41 98 
-64 159 43 
-15 -103 102 
171 115 191 
-72 -89 -65 
172 147 -110 
-82 -160 27 
-98 96 -134 
-22 159 -59 
66 75 -152 
85 194 -16 
36 -180 12 
-3 -130 108 
-67 -60 34 
-48 12 84 
7 -96 -148 
-187 80 -107 
-9 132 194 
-20 63 -93 
29 -30 44 
-151 -93 71 
-76 151 180 
109 40 185 
-100 -3 -27 
140 8 -157 
-78 -172 156 
-126 -15 136 
-148 -26 -46 
70 -78 153 
-34 62 -126 
63 -21 112 
120 -166 -160 
-41 75 -123 
196 88 148 
-93 -110 129 
-161 147 123 
156 41 32 
-147 40 95 
149 176 -72 
180 19 88 
-71 -143 13 
-47 -98 -52 
-33 -118 86 
-137 -26 8 
86 -83 -20 
-82 -23 -194 
-184 -131 108 
139 -68 -152 
-31 150 -144 
95 127 32 
-116 -113 -46 
141 -160 55 
138 -56 -105 
180 -52 -126 
-155 -28 46 
157 145 -165 
129 119 69 
-3 5 77 
121 -157 34 
41 -183 85 
-185 -67 -164 
-50 119 160 
-181 -138 -197 
80 99 -92 
31 12 -74 
186 -124 -178 
-91 -70 184 
-126 31 33 
45 122 -90 
-27 78 -153 
-175 -114 110 
115 101 -184 
-14 155 51 
17 62 19 
-39 5 -135 
-178 118 -34 
-99 109 -182 
168 16 -57 
135 42 -99 
-26 111 -44 
129 185 -138 
-153 142 9 
-98 121 -133 
-179 75 160 
133 -119 -4 
47 96 119 
196 -79 -76 
142 53 172 
-157 -12 -117 
-11 -140 -24 
85 19 -94 
-76 56 -17 
-177 -187 -163 
-6 14 -123 
-73 -187 141 
-101 164 -70 
-187 -99 -32 
-87 -178 10 
3 -6 50 
-60 130 -72 
-145 158 108 
69 102 106 
146 135 10 
-93 199 23 
101 72 200 
138 103 100 
-48 21 -27 
-194 -2 92 
99 -113 -76 
34 -115 -196 
-199 19 69 
-39 -85 -172 
-131 -122 -175 
106 -131 -45 
-56 192 -39 
155 196 101 
7 -122 98 
179 -127 -37 
180 79 56 
-33 25 -98 
-154 -100 -98 
8 -122 92 
90 27 115 
-87 39 -101 
-137 -99 -58 
190 -185 13 
-145 -66 -125 
-155 -141 -80 
120 -66 -181 
-136 -71 -145 
-18 83 -151 
58 55 9 
181 136 -154 
178 -114 -153 
-85 -135 175 
26 -136 -122 
-117 -105 -196 
-78 64 200 
-149 -190 41 
-38 30 140 
-33 145 -116 
-184 -198 -40 
174 -69 49 
1 -158 -54 
117 -6 100 
-184 -82 35 
-10 9 160 
20 -104 -171 
-170 -36 -45 
38 -56 -54 
-197 23 102 
110 196 -126 
-199 -125 -105 
-70 -96 -44 
138 -188 28 
-65 -3 -168 
-21 143 -111 
94 13 70 
108 -181 129 
-187 -192 29 
173 71 33 
39 -176 61 
60 -185 -23 
-198 174 120 
-149 200 -136 
-43 107 46 
-21 -59 -56 
35 79 -168 
-165 197 -23 
-162 114 86 
136 93 75 
133 16 109 
70 -54 -25 
115 37 -17 
-171 -67 -107 
-163 184 32 
-87 125 176 
-194 100 47 
-105 -53 179 
192 -122 -142 
-62 -3 143 
150 -181 -190 
-192 -64 56 
97 -31 -184 
-61 85 74 
11 36 180 
-196 25 -166 
18 -96 -90 
-164 -156 -188 
-170 22 117 
151 -8 163 
-129 -128 -40 
-116 153 -174 
123 93 77 
-10 129 -56 
60 -15 -78 
-134 56 -54 
97 2 -194 
-15 -49 154 
-76 -97 -185 
-139 172 122 
27 -148 -114 
-133 134 3 
-114 14 -110 
-43 20 -156 
68 -116 2 
-75 167 -198 
42 193 24 
-3 72 -175 
99 -25 -69 
192 139 59 
77 -126 -176 
120 -119 110 
-182 32 -143 
185 115 110 
97 64 60 
-72 126 133 
163 -14 94 
-49 -165 -8 
195 123 -66 
60 101 -90 
-165 -28 -179 
-24 90 42 
197 176 139 
12 34 -78 
-18 38 -136 
136 71 -77 
-109 127 21 
195 31 -78 
19 -102 -76 
18 96 133 
-126 174 -55 
-142 -146 115 
138 -93 59 
63 -35 75 
64 -190 -181 
183 -134 143 
-135 148 185 
-150 -179 184 
174 -171 58 
145 161 -98 
-120 56 -136 
-199 184 -114 
22 -168 160 
-138 -177 154 
139 108 -54 
10 200 197 
-44 70 -145 
135 111 -112 
-81 -53 97 
128 84 -152 
-146 195 -165 
69 -5 -136 
138 195 131 
185 -134 64 
157 148 20 
-177 57 -113 
-183 147 -173 
62 183 49 
82 75 122 
151 122 116 
52 -42 -111 
-156 -122 151 
171 -62 147 
-63 -43 -159 
-181 -29 33 
-117 163 178 
-127 143 149 
106 81 178 
-157 10 -88 
-154 -181 104 
-115 131 189 
-51 -124 8 
110 192 79 
-188 96 161 
-147 -158 -83 
30 126 52 
68 -51 -158 
-112 -43 -169 
11 -140 -19 
82 -115 86 
14 -183 -175 
75 136 117 
129 -198 -23 
48 -86 -50 
113 199 -16 
-78 -103 -109 
9 -122 -133 
189 175 -45 
-121 15 -157 
-124 33 -84 
55 198 180 
-28 75 -27 
-183 70 159 
53 -93 -193 
-109 113 79 
-146 140 141 
-164 107 180 
167 95 -180 
22 156 97 
22 -112 -132 
104 76 -22 
-182 -42 9 
-163 191 -169 
93 -59 193 
109 -63 -14 
151 175 184 
-104 -6 150 
-79 38 -100 
91 -174 -41 
-133 145 -192 
-161 -3 41 
-152 129 145 
-25 -160 83 
124 35 -54 
169 199 41 
-57 -71 -136 
-125 -116 65 
135 27 102 
95 158 -41 
-24 -104 176 
73 -198 105 
200 -83 169 
101 -180 77 
-123 -63 -75 
-103 -129 82 
-139 140 136 
98 -3 -150 
-185 154 73 
90 -132 -12 
33 -94 -29 
176 -116 152 
-78 -35 126 
97 134 53 
58 -56 158 
-102 126 1 
72 -83 123 
98 -176 -42 
174 107 -23 
59 156 131 
30 88 -75 
-38 -119 112 
179 -19 -38 
186 18 -127 
-107 131 177 
24 142 173 
3 -42 -12 
-175 -180 -189 
-126 30 96 
168 -112 -32 
-146 183 33 
-96 144 -35 
-137 -143 18 
-129 -145 -66 
-171 -140 161 
-65 34 -4 
179 14 -4 
25 141 -135 
139 48 -47 
-19 -33 101 
87 81 126 
24 -63 -91 
164 5 -84 
-50 199 -37 
177 186 -178 
73 141 -18 
-77 119 84 
45 143 154 
149 21 -90 
65 75 122 
-145 -136 184 
113 -30 8 
115 94 -78 
-157 197 25 
-97 159 -189 
56 -94 -101 
192 186 172 
-74 145 -90 
-97 -11 187 
-8 188 189 
31 -175 -105 
-93 149 -156 
-105 -123 55 
-136 -169 195 
111 2 -118 
-81 -125 90 
11 58 -102 
-62 -139 -163 
-32 133 88 
10 145 -173 
131 -56 114 
117 66 41 
-163 -95 46 
54 -64 19 
-49 -144 -42 
165 -134 -70 
195 60 -159 
-197 -97 -200 
-92 -70 -19 
109 -134 125 
46 44 145 
180 73 99 
-44 146 56 
-92 -27 29 
-71 176 -168 
-23 35 82 
-90 -72 -181 
-95 46 -80 
86 -143 -103 
-156 114 -16 
94 48 -14 
140 -22 -38 
87 51 -98 
7 -38 -114 
8 -27 -97 
31 140 -195 
105 -6 -25 
97 82 148 
80 133 73 
72 -161 -184 
-67 102 66 
-106 -43 -179 
63 -165 -160 
142 174 83 
-84 -86 71 
10 195 -156 
-145 35 -181 
24 -162 39 
190 137 38 
-177 -149 67 
-192 32 -101 
-166 -90 187 
-70 65 192 
-70 171 69 
-47 -71 61 
32 38 -191 
199 -165 115 
23 184 -19 
33 -195 -68 
-184 132 123 
152 -133 -43 
111 -171 -178 
105 -108 32 
77 174 148 
81 98 97 
-149 -122 -151 
14 -115 -49 
70 -61 -107 
-30 129 -78 
-86 26 164 
-60 -77 -19 
-6 -131 75 
-163 -12 -5 
59 -166 -17 
-17 75 154 
26 165 21 
71 -190 -69 
43 115 85 
165 194 -104 
87 58 -196 
147 -155 1 
-175 115 166 
133 -26 122 
113 -152 -64 
-164 -144 -182 
61 -195 128 
8 176 -173 
-144 -120 -96 
86 185 167 
179 41 154 
68 72 8 
59 168 109 
196 -140 171 
148 54 189 
-112 -114 -98 
-63 -188 3 
-5 -36 82 
-106 -130 -57 
-148 18 31 
130 19 -67 
-178 108 -115 
169 175 -168 
18 -95 150 
-91 -83 -153 
101 158 141 
176 -165 -3 
-78 126 192 
-153 -29 -126 
18 -131 -150 
71 -133 50 
128 -189 188 
-185 -98 75 
50 130 -171 
-52 -185 -110 
-133 182 -52 
150 11 -128 
88 169 -85 
-39 64 -66 
22 82 91 
176 160 -189 
-34 -36 128 
51 117 150 
199 155 31 
-137 -68 -159 
-12 105 115 
61 54 -41 
-140 -153 27 
-123 -195 137 
140 164 -4 
-172 171 -21 
113 -195 159 
89 152 -93 
197 59 -143 
177 155 -105 
165 -193 53 
115 6 27 
19 -144 119 
1 110 -123 
64 139 187 
-58 -16 -96 
56 -63 -171 
-160 5 -130 
56 -168 113 
151 57 123 
17 -36 131 
-151 195 149 
-35 -113 -159 
31 63 -111 
83 118 186 
127 98 -143 
-181 152 -6 
14 125 -65 
150 156 -41 
-33 29 -109 
145 -168 -34 
43 -146 14 
-189 -105 43 
78 81 -61 
165 -62 139 
-148 -49 122 
79 61 48 
-73 33 -186 
-54 68 -77 
-138 60 199 
-160 -141 -107 
-8 -24 185 
32 120 -163 
-101 -165 136 
197 92 119 
20 154 143 
139 -179 58 
19 -190 1 
-169 -12 -119 
-163 92 22 
107 81 55 
73 -47 -192 
164 -85 9 
-68 -3 -20 
-17 189 -115 
-25 -14 -101 
-73 158 -117 
38 -181 59 
171 -76 -67 
-61 -55 -158 
73 -7 -87 
41 108 168 
-152 -102 -127 
142 -189 41 
-118 -63 -33 
79 146 -32 
43 -190 87 
-36 186 -26 
-64 -141 -107 
3 51 -76 
8 -183 -94 
84 -135 -128 
126 -143 196 
-96 143 -162 
12 21 45 
-48 176 61 
178 114 -197 
-194 197 -174 
-114 -196 -99 
-59 -23 -102 
-73 166 196 
21 94 26 
-119 76 196 
18 4 -7 
-121 155 -66 
-9 135 -75 
-161 -27 -146 
-131 -59 -47 
199 -100 -107 
-167 -124 141 
49 -144 88 
93 194 152 
-119 199 148 
9 170 27 
-27 169 37 
161 -115 179 
-27 156 98 
-166 -49 -90 
-157 -128 -180 
64 124 36 
-5 -104 -69 
4 77 -68 
-156 -110 -59 
187 100 -40 
167 50 59 
198 120 133 
-170 134 124 
-187 -139 -14 
-119 -88 180 
161 -153 9 
-105 185 -93 
-23 -183 59 
43 -160 -184 
-100 168 -170 
24 -194 121 
-154 121 17 
-140 75 144 
-17 183 163 
-79 -152 -124 
-72 57 -100 
-41 -2 -100 
-172 60 98 
-25 52 -200 
-105 -176 129 
109 22 -12 
96 -135 197 
-29 30 54 
109 -156 -143 
-120 -182 26 
-193 -46 -55 
64 19 16 
102 -46 1 
-92 137 -103 
-197 184 -49 
-196 -3 -164 
176 71 -156 
-68 20 -133 
-129 -115 -19 
-64 11 -130 
80 -168 -11 
-143 -174 57 
124 -32 -147 
39 190 84 
171 143 16 
18 -154 10 
192 40 -170 
-155 35 -185 
21 116 -126 
9 -144 151 
-174 64 177 
197 -81 72 
-191 -113 73 
151 168 119 
188 -79 26 
191 26 107 
185 -12 102 
-49 -100 -107 
-80 161 -138 
192 -181 114 
166 -143 82 
147 127 3 
-30 81 -169 
-92 -133 170 
-105 48 -120 
80 -25 2 
136 20 74 
-46 81 -138 
3 -74 141 
-184 103 -71 
-32 -171 159 
13 -191 139 
-141 -109 16 
-106 -176 -69 
-5 -190 34 
64 -172 166 
-125 44 87 
182 -116 -61 
195 161 21 
-182 77 139 
-135 154 151 
86 80 -19 
-80 -27 -64 
-104 -17 -78 
134 46 200 
-80 -165 162 
-42 -78 -34 
-23 -128 -25 
-101 121 198 
38 71 -104 
-129 -120 91 
49 -164 -173 
-55 34 129 
179 178 124 
190 -4 61 
-98 93 -137 
-87 -102 26 
187 -79 173 
84 -142 -63 
-20 55 -142 
-120 81 39 
-123 181 189 
-116 138 -109 
-168 151 23 
-48 112 64 
-37 -131 70 
111 20 -170 
-130 47 63 
-89 178 -125 
-17 -102 -177 
-86 139 -171 
122 -90 -100 
-164 -73 141 
-134 92 -54 
12 26 187 
171 129 -123 
157 32 181 
-170 195 -55 
-14 184 195 
192 43 119 
-60 187 -79 
-25 162 -45 
-155 -106 -7 
195 -55 78 
74 -9 -88 
115 -104 -131 
193 -155 133 
-121 115 137 
-147 28 107 
-168 -12 97 
33 188 -159 
-200 142 87 
-195 85 102 
-95 161 81 
-142 176 126 
39 181 -41 
61 184 125 
125 200 -19 
-31 -46 77 
28 82 -1 
144 31 -115 
-186 -159 118 
-88 -196 173 
59 -52 -4 
122 121 89 
-96 -56 163 
-97 143 5 
90 179 191 
-142 -145 -127 
39 -173 103 
-32 -167 -135 
108 -199 177 
82 145 88 
66 -193 -182 
80 121 -29 
118 136 25 
44 181 81 
60 -79 61 
-29 105 7 
-144 -169 137 
197 -5 -27 
16 51 56 
63 97 -57 
-174 -186 167 
-76 -51 46 
2 20 104 
88 90 73 
-95 -68 162 
-9 96 2 
-133 65 13 
96 -91 114 
109 178 9 
-117 -54 -124 
46 118 105 
193 114 167 
-40 -87 196 
188 -190 31 
81 126 127 
-46 -125 177 
82 -135 197 
-88 -129 59 
-119 186 61 
147 -29 -99 
59 -57 13 
175 -153 -171 
80 -199 106 
-133 -180 -163 
-81 105 -63 
186 106 73 
177 -184 -75 
-87 -187 -42 
-2 114 83 
-200 -143 170 
-127 -14 -117 
32 134 -165 
-151 87 98 
27 -168 -77 
-59 -32 99 
-185 -60 -80 
62 -189 -70 
-33 -78 -17 
174 -146 -79 
68 173 -142 
-152 119 143 
-83 -46 185 
-73 -189 1 
131 -56 156 
110 109 195 
-28 148 95 
88 -110 -57 
-60 -191 -3 
-13 105 34 
13 -150 -200 
189 -162 146 
186 17 21 
194 -51 -71 
90 -161 178 
20 165 152 
-12 -91 58 
-5 18 99 
-128 13 -138 
191 -169 -61 
-196 180 -4 
-3 93 -90 
192 -30 -144 
-96 -199 83 
-141 -98 -129 
71 20 -75 
-65 126 -184 
125 -24 -172 
103 -57 28 
-156 39 -176 
-9 126 -133 
-35 -31 -179 
154 -105 107 
-137 -164 -17 
-26 7 89 
39 138 -193 
-50 -152 -137 
-16 -138 -193 
-196 70 -152 
-40 152 31 
138 -115 -135 
-136 -60 57 
-141 -69 70 
125 -79 57 
-14 139 -57 
-168 110 95 
-72 -185 -184 
108 -118 -88 
-168 -169 114 
-21 -180 82 
197 -167 -44 
129 -49 74 
-46 -177 162 
-1 178 -108 
12 -71 -34 
123 72 -49 
12 79 -24 
117 -187 -55 
123 -200 -194 
87 83 7 
148 -146 -23 
-18 49 -132 
-114 -81 -92 
-142 25 180 
191 -46 187 
-181 37 -48 
-114 52 -189 
17 -31 20 
-193 165 -174 
-158 -139 -126 
-137 -127 -54 
163 -173 118 
-80 -110 -81 
183 86 -152 
7 -10 88 
-145 -64 -157 
-175 -141 137 
18 192 20 
71 44 46 
-197 -120 -117 
-23 168 62 
92 -11 -6 
179 -107 -152 
55 51 88 
-24 118 -163 
-133 -79 -54 
-139 -9 -169 
-128 187 -200 
-95 41 -151 
-78 54 14 
152 125 -74 
119 -124 -30 
101 -57 -79 
120 -22 66 
186 83 200 
-81 -144 172 
136 169 -129 
-158 164 -123 
-128 103 30 
179 -188 -159 
97 -48 -33 
90 -49 134 
120 -22 -31 
77 -149 38 
122 25 151 
31 -8 -108 
71 -121 -13 
84 -8 145 
-87 196 101 
144 -154 -163 
157 27 51 
168 -19 -26 
128 -143 -191 
56 70 157 
-30 91 -24 
60 -151 -75 
-78 -167 145 
150 144 -102 
128 182 38 
-4 -135 -108 
-141 36 -117 
-195 120 140 
49 -139 36 
185 181 -132 
117 -85 162 
82 119 -135 
147 -136 41 
82 -87 137 
-167 -76 -14 
-55 156 -40 
88 6 -184 
96 92 129 
-147 -10 -71 
-190 -124 141 
151 3 -146 
162 1 117 
153 -55 -44 
-176 141 177 
86 -176 78 
-55 86 -73 
130 35 48 
24 27 -11 
-188 63 126 
-71 95 188 
45 140 -186 
115 6 137 
155 -172 181 
16 51 -85 
-41 98 -78 
-31 172 -195 
44 132 -154 
87 -106 -3 
-195 128 -105 
-175 -171 -183 
123 -68 -108 
-67 -28 117 
158 91 -84 
190 -20 -84 
-59 -21 -34 
105 18 181 
109 -40 115 
-111 -107 -99 
185 -95 54 
-134 -135 14 
4 -109 8 
144 112 78 
79 177 -1 
-131 -180 81 
-39 108 160 
-55 69 -4 
-20 38 -50 
133 81 94 
102 181 -147 
-131 -164 34 
-147 38 -184 
151 142 -153 
3 -104 63 
93 65 67 
119 86 -91 
164 -79 49 
-80 155 35 
-119 -152 175 
-79 77 -162 
-148 -173 -86 
119 170 -142 
-80 119 35 
-55 75 -134 
113 79 184 
53 -90 -187 
42 174 -35 
132 133 53 
199 -116 16 
8 -1 -187 
80 90 11 
58 126 173 
132 160 165 
-128 40 -193 
172 -4 174 
15 100 -35 
51 197 -155 
-31 80 89 
-100 94 -192 
194 106 147 
-132 -183 -172 
-79 -168 -85 
-85 -181 82 
-162 115 181 
-6 -173 192 
37 -9 82 
-80 130 -159 
13 -23 -81 
5 -50 -14 
-162 111 14 
106 9 -134 
125 106 31 
-172 147 -132 
-12 -190 81 
-150 79 73 
119 -40 -126 
93 32 59 
-30 183 180 
-129 -175 -1 
56 122 -29 
-8 -14 107 
-79 81 -40 
-130 125 109 
159 -12 -179 
71 134 -7 
80 24 -51 
-3 131 -181 
69 -104 12 
185 -182 128 
143 -162 -96 
74 56 -103 
-164 -116 128 
-153 2 -137 
199 -91 -117 
146 -181 173 
78 162 30 
32 4 146 
21 191 -44 
92 121 9 
-142 -65 14 
175 68 -183 
-70 79 -95 
23 80 39 
57 109 -134 
143 189 -36 
121 -117 -68 
114 90 168 
181 119 -199 
-4 141 138 
-113 160 183 
196 -17 3 
88 -147 58 
-134 175 143 
56 106 -65 
181 -154 162 
-100 34 69 
-12 75 172 
-24 -79 -57 
136 -59 -120 
119 -132 50 
68 146 143 
198 -196 12 
165 -200 -27 
67 26 101 
-164 72 -139 
80 -144 -194 
6 106 -50 
-72 149 -179 
132 -9 159 
-131 30 -124 
-136 -10 -24 
110 36 175 
-181 126 169 
-52 142 -163 
-35 -74 -114 
-154 129 -108 
-96 -156 4 
111 40 35 
-62 -54 20 
-43 29 114 
-195 199 140 
-169 108 -190 
2 -77 -80 
176 -92 -5 
-85 37 57 
-199 -195 -124 
102 134 -161 
-154 -135 147 
-25 -30 -14 
160 -87 -88 
179 45 -65 
190 -138 -172 
36 -154 -180 
-22 -66 -173 
-7 -145 90 
63 86 -11 
-57 81 84 
94 1 8 
194 -159 -68 
158 110 -173 
-62 139 -128 
-31 -63 27 
167 17 -76 
103 194 -72 
105 -116 29 
-167 -148 -104 
60 -73 200 
-112 131 -7 
180 -128 -200 
-92 -111 -99 
132 -147 -34 
-120 -75 99 
162 -103 52 
-131 68 -45 
-122 -133 179 
192 -108 -17 
199 -137 -56 
-133 -6 -69 
15 -158 131 
174 -72 -172 
-46 40 -194 
109 -191 134 
-153 -197 57 
-106 -157 57 
144 172 -122 
-82 73 -33 
-199 18 171 
5 -15 -174 
179 -193 129 
-64 -74 193 
89 -40 152 
-96 136 -183 
177 -26 27 
-140 -135 75 
130 137 -157 
50 -62 92 
-62 187 -57 
128 -149 -132 
137 -148 143 
181 91 -135 
-87 149 -6 
97 -13 -34 
77 83 139 
-42 -33 37 
-93 133 159 
175 42 71 
93 123 -112 
195 -197 -100 
155 -69 -107 
129 -95 155 
-158 51 20 
158 -60 57 
-147 101 75 
45 -61 -104 
77 -113 20 
23 -4 115 
144 178 -135 
101 -16 -14 
-129 104 -99 
-119 98 55 
-116 -162 -96 
36 -102 -61 
-134 -83 103 
143 -164 64 
-29 -22 85 
27 197 174 
110 95 8 
69 -165 37 
94 -54 -149 
9 -8 21 
-168 -153 -187 
-105 -178 -80 
-53 130 8 
66 -104 -164 
-136 -72 67 
-155 -187 191 
55 9 -130 
28 -143 -181 
97 196 -87 
34 182 17 
33 102 -97 
187 165 -158 
-5 -184 -69 
87 54 171 
25 159 105 
-131 151 -184 
-158 75 102 
35 -71 -11 
-179 -68 -27 
-46 195 -24 
-99 173 -67 
42 41 27 
-36 -184 181 
75 -40 160 
103 14 117 
32 78 41 
128 -182 131 
17 -131 -113 
89 -112 196 
15 99 -6 
141 -162 -10 
140 139 -27 
-183 -36 -139 
-49 142 -87 
191 148 -35 
-162 -19 41 
55 127 58 
-129 -32 -142 
7 -157 -14 
-79 133 193 
-37 167 -36 
-14 -198 -172 
-187 -125 -142 
-184 -48 199 
-141 193 186 
76 -174 -6 
103 -53 -150 
84 82 167 
148 -170 -129 
-92 168 175 
-124 -6 56 
118 -197 -17 
-116 17 6 
-58 10 125 
8 192 -134 
-151 17 -135 
56 -90 132 
-96 -180 -19 
153 -141 -152 
151 -176 72 
62 135 10 
94 -19 -23 
-132 197 -176 
108 -13 -140 
91 183 160 
-159 -24 -122 
-92 122 -33 
-17 -132 147 
-155 181 -11 
136 -72 -138 
-189 12 -89 
97 93 -95 
67 8 104 
-56 117 89 
-161 11 150 
-9 149 183 
-87 37 31 
96 -31 112 
-2 -62 -124 
131 28 -47 
32 -51 45 
-7 -98 -44 
-105 98 48 
10 72 -108 
-117 162 77 
-62 -99 130 
142 -172 84 
21 109 85 
91 157 -98 
-60 -6 -89 
-91 -17 -163 
125 -47 -197 
-109 -129 -104 
17 20 -171 
105 51 183 
170 125 -191 
160 -38 -76 
97 -121 -129 
121 -168 -70 
-127 85 -66 
132 -156 -179 
199 128 55 
78 -191 -126 
-10 138 -45 
39 -116 89 
-174 175 -110 
-142 -154 27 
-188 -57 -68 
-151 29 -110 
-46 -99 58 
-83 149 48 
162 180 181 
185 42 -108 
39 135 28 
-6 -115 -121 
-131 182 -192 
150 132 -167 
128 -125 186 
197 61 41 
47 7 25 
-171 198 -140 
-180 134 79 
7 190 121 
-68 -22 72 
145 -118 -83 
-180 -99 86 
-107 -190 -138 
-39 -18 30 
-47 153 -35 
2 100 159 
-25 15 -33 
-11 54 -189 
183 -151 109 
-65 -178 7 
194 38 -46 
-151 -56 32 
62 -125 -153 
69 -89 -28 
194 89 56 
-48 139 176 
57 -84 13 
-108 153 -167 
-84 -176 -104 
-84 -116 89 
-170 131 -127 
-143 32 138 
40 130 -93 
-3 -58 91 
-144 -192 -176 
